編號,型式,測照地點,測照方向,速限,行政區,測照型式,座標緯度,座標經度
1,非線圈數位雷射,民族一路與十全一路口,北向南,60,三民,闖紅燈,22.644858,120.314341
2,線圈數位,九如一路與平等路口,西向東,50,三民,闖紅燈,22.639828,120.32043
3,線圈數位,同盟一路高醫大門,西向東,50,三民,闖紅燈,22.649115,120.310069
4,線圈數位,河堤路與民族一路543巷口,北向南,50,三民,闖紅燈,22.666989,120.314915
5,雷達數位,民族一路268號前,南北向,60,三民,超速,22.649855,120.314951
6,線圈數位,中山高西側便道與九如一路口,北向南,違左,三民,違左,22.63776,120.336788
7,線圈數位,九如一路與中山高東側便道,東向西,違左,三民,違左,22.637416,120.337787
8,線圈數位,大昌二路420巷口,南向北,50,三民,闖紅燈,22.649923,120.331829
9,線圈數位,民族一路與承德街口,南向北,60,三民,闖紅燈,22.642304,120.314199
10,雷達數位,明誠一路 280 號前,東向西,50,三民,超速,22.6596,120.325981
11,雷達數位,明誠一路528號對面,西向東,50,三民,超速,22.65996,120.320013
12,雷達數位,九如三路中都街與九如大橋中段,東向西,50,三民,超速,22.643929,120.286111
13,線圈數位,民族一路與裕誠路口機車道,南向北,40,三民,闖紅燈,22.663258,120.316167
14,非線圈數位雷射雷達,大中一路與鼎中路口東向西左側,東向西,50,三民,闖紅燈,22.676522,120.323444
15,非線圈數位雷射雷達,大中一路與鼎中路口東向西右側,東向西,50,三民,闖紅燈兼超速,22.676705,120.323591
16,非線圈數位雷射,九如一路與大昌二路口,西向東,50,三民,闖紅燈,22.638509,120.331651
17,雷達數位,大昌二路28號前,南向北,50,三民,超速,22.641332,120.332263
18,非線圈數位雷射,民族一路與建工路口,南向北,40,三民,闖紅燈兼路口科技執法監測,22.647351,120.31487
19,線圈數位,民族一路與裕誠路口快車道,北向南,60,三民,闖紅燈,22.663786,120.316076
20,線圈數位,自由一路與同盟一路口,北向南,50,三民,闖紅燈,22.650259,120.30907
21,線圈數位,明誠一路與大裕路口,西向東,50,三民,闖紅燈,22.659721,120.328428
22,線圈數位,三民區九如一路與民族一路口,東向西,50,三民,闖紅燈,22.64043,120.314691
23,線圈數位,三民區明誠一路與民族一路口,東向西,50,三民,闖紅燈,22.659792,120.316235
24,非線圈數位雷射,三民區鼎山街與明誠一路,南向北,50,三民,闖紅燈,22.659908,120.321999
25,雷達數位,大社區和平路一段710-1號前,北向南,60,大社,超速,22.732006,120.360507
26,非線圈數位雷射,大社區和平路二段與中華路14巷口,北向南,60,大社,闖紅燈,22.725448,120.359881
27,雷達數位,大社區中山路521之9號旁,東向西,40,大社,超速,22.730787,120.357469
28,雷達數位,大社區學府路94巷口前50公尺處往大社市區,東向西,40,大社,超速,22.73555525,120.3754401
29,線圈數位,大社區旗楠路與保糖街口,西向東,50,大社,闖紅燈,22.752487,120.354193
30,線圈數位,大寮區鳳林二路與濃公路口,北向南,60,大寮,闖紅燈,22.574073,120.409924
31,線圈數位,大寮區鳳屏一路民貴街口,東向西,50,大寮,闖紅燈,22.631303,120.385168
32,線圈數位,大寮區鳳屏二路江山路口,西向東,70,大寮,闖紅燈,22.640906,120.408812
33,雷達數位,大寮區台29線96公里500公尺處,南向北,50,大寮,超速,22.625746,120.42427
34,雷達數位,台88快速道東向7公里400公尺處,西向東,90,大寮,超速,22.586541,120.409297
35,雷達數位,台88快速道西向10公里處大發交流道前,東向西,90,大寮,超速,22.592665,120.433383
36,線圈數位,大寮區鳳林一路與鳳林路四段,北向南,60,大寮,闖紅燈,22.547424,120.411417
37,非線圈數位雷射,大寮區市道188號內坑路與高72線路口,東向西,60,大寮,闖紅燈兼超速,22.589377,120.384321
38,雷達數位,大寮區新厝路296之1號前,東西向,50,大寮,超速,22.561409,120.403839
39,非線圈數位雷射,大寮區內坑路161之21號前路口,西向東,60,大寮,闖紅燈,22.589095,120.379982
40,線圈數位,大寮區鳳林二路光華路口,南向北,60,大寮,闖紅燈,22.581044,120.407373
41,雷達數位,大寮區河堤路三段與公園街口前,北向南,50,大寮,超速,22.569545,120.433491
42,線圈數位,大寮區光明路二段與大寮路口,北向南,60,大寮,闖紅燈,22.591168,120.419689
43,非線圈數位雷射,大寮區市道188號與鳳林二路口快車道,西向東,60,大寮,闖紅燈兼路口科技執法監測,22.586404,120.404609
44,非線圈數位雷射,大寮區市道188號與鳳林二路口慢車道,西向東,40,大寮,闖紅燈兼路口科技執法監測,22.586277,120.404632
45,非線圈數位雷射,大寮區鳳林三路進學路,南向北,50,大寮,闖紅燈,22.6079966,120.3953263
46,雷達數位,大寮區華中南路373號前,南向北,50,大寮,超速,22.558869,120.42732
47,非線圈數位雷射,大寮區市道188號與華中路口,西向東,40,大寮,闖紅燈,22.59183,120.428215
48,非線圈數位雷射雷達,大寮區光明路三段與翁園路口,北向南,60,大寮,闖紅燈兼超速,22.625937,120.411224
49,雷達數位,大寮區鳳屏二路鳳屏二路180巷口高屏大橋下橋處,東西向,70,大寮,超速,22.641542,120.413361
50,非線圈數位雷射,大寮區新厝路新三街口,西向東,50,大寮,闖紅燈,22.561309,120.409244
51,雷達數位,大樹區大坑路台29線86公里500公尺處,南北向,70,大樹,超速,22.7077592,120.4392542
52,非線圈數位雷射,大樹區興山路興山橋旁,西向東,50,大樹,闖紅燈,22.694601,120.423901
53,雷達數位,大樹區台22線14公里處,東西向,50,大樹,超速,22.7750081,120.4304487
54,雷達數位,大樹區高186甲線三和路仙峰宮前,西向東,40,大樹,超速,22.727496,120.422743
55,雷達數位,高松路與松正路口,東向西,50,小港,超速,22.57036,120.376787
56,非線圈數位雷射,南星路與中林路口,北向南,40,小港,闖紅燈,22.521514,120.346062
57,非線圈數位雷射,南星路與中林路口,南向北,40,小港,闖紅燈,22.521088,120.346679
58,雷達數位,沿海一路與中鋼路口南下,北向南,50,小港,超速,22.561512,120.356541
59,雷達數位,東亞南路與平和二路口,北向南,60,小港,超速,22.55905,120.334427
60,非線圈數位雷射雷達,東亞南路與平和七路口,南向北,60,小港,闖紅燈兼超速,22.5616114,120.3324235
61,雷達數位,南星路段沿海路以北700公尺處,北向南,40,小港,超速,22.513892,120.354638
62,非線圈數位雷射,中安路與明聖街230巷口,西向東,50,小港,闖紅燈,22.583787,120.346222
63,F桿非線圈數位雷射雷達,沿海一路與宏平路口,南向北,50,小港,闖紅燈兼超速,22.568972,120.350122
64,非線圈數位雷射雷達,沿海三路與鳳鳴路口,北向南,50,小港,闖紅燈兼超速,22.510919,120.362403
65,雷達數位,小港區高坪18路與高坪15路口,西向東,50,小港,超速,22.554989,120.394563
66,線圈數位,中山四路與大業北路口,西向東,40,小港,闖紅燈,22.569507,120.342561
67,雷達數位,中安路223號前,東向西,50,小港,超速,22.583259,120.340726
68,非線圈數位雷射,小港區沿海一路與漢民路口,北向南,50,小港,闖紅燈,22.5666014,120.3520703
69,數位雷達,小港區飛機路153號濟南里活動中心旁,西向東,40,小港,超速,22.573195,120.359292
70,非線圈數位雷射,小港區沿海一路與康莊路口,北向南,60至40,小港,闖紅燈,22.568001,120.350672
71,雷達數位,小港區中山四路大業北路以東60公尺處高雄公園前,東向西,60,小港,超速,22.5696532,120.3445213
72,非線圈數位雷射雷達,小港區沿海二路世全路口北向,南向北,60,小港,闖紅燈、超速兼科技執法監測,22.545479,120.36895
73,非線圈數位雷射雷達,小港區沿海二路世全路口南向,北向南,60,小港,闖紅燈、超速兼科技執法監測,22.545891,120.368636
74,非線圈數位雷射,小港區沿海二路永光街口,南向北,60,小港,闖紅燈兼路口科技執法監測,22.54958,120.366042
75,非線圈數位雷射,小港區高松路營口路口,西向東,50,小港,闖紅燈,22.572669,120.370703
76,非線圈數位雷射,小港區高鳳路中安路口,南向北,50,小港,闖紅燈,22.584667,120.368527
77,非線圈數位雷射,小港區營口路山明路口,北向南,50,小港,闖紅燈,22.565833,120.370639
78,線圈數位,仁武區澄觀路八德南路口,東向西,50,仁武,闖紅燈,22.680219,120.340471
79,雷達數位,仁武區義大二路與公館1巷3號前,北向南,60,仁武,超速,22.715529,120.390008
80,非線圈數位雷射,仁武區仁雄路與澄仁路口,西向東,50,仁武,闖紅燈兼超速,22.677249,120.345926
81,非線圈數位雷射雷達,仁武區鳳仁路與成功路口,南向北,60,仁武,闖紅燈,22.676082,120.358514
82,非線圈數位雷射雷達,仁武區水管路與澄觀路口,東向西,60,仁武,闖紅燈兼超速,22.703672,120.360516
83,雷達數位,仁武區鳳仁路183線2公里450公尺,北向南,60,仁武,超速,22.710386,120.339392
84,非線圈數位雷射雷達,仁武區高楠公路與八德二路口,南向北,60至40,仁武,闖紅燈,22.70100922,120.3234465
85,非線圈數位雷射,仁武區澄觀路與仁林路口,南向北,60,仁武,闖紅燈,22.7013342,120.3597642
86,非線圈數位雷射,仁武區澄觀路與鳳仁路口,東向西,60,仁武,闖紅燈,22.6860925,120.3532559
87,非線圈數位雷射,仁武區鳳仁路與竹門巷口,北向南,60至40,仁武,闖紅燈,22.708862,120.340348
88,雷達數位,仁武區鳳仁路97之23號前,南向北,60,仁武,超速,22.690875,120.350562
89,非線圈數位雷射,仁武區水管路與鳳仁路,西向東,40,仁武,闖紅燈,22.705885,120.34179
90,雷達數位,內門區旗文路台三線401公里880公尺,北向南,60,內門,超速,22.9106,120.466422
91,雷達數位,六龜區旗六公路新威國小前,西向東,50,六龜,超速,22.897559,120.626681
92,非線圈數位雷射雷達,六龜區台28線茂林國家風景區管理處前路口,北向南,50,六龜,闖紅燈兼超速,22.889641,120.624283
93,雷達數位,六龜區三民路37號旁台28線45公里700公尺,東向西,50,六龜,超速,22.881773,120.616134
94,線圈數位,左營區博愛三路與崇德路口,南向北,50,左營,闖紅燈,22.674621,120.305381
95,線圈數位,左營區新庄仔路與自由二路口,西向東,50,左營,闖紅燈,22.668627,120.309615
96,線圈數位,華夏路與新庄仔路口,南向北,60,左營,闖紅燈,22.674582,120.299512
97,線圈數位,左營區博愛三路與文自路口,北向南,60,左營,闖紅燈,22.672869,120.3045
98,非線圈數位雷射,左營區大中二路與華夏路口,西向東,40,左營,闖紅燈兼路口科技執法監測,22.683281,120.307615
99,線圈數位,左營區華夏路337巷口,南向北,50,左營,闖紅燈,22.671649,120.297555
100,雷達數位,左營區大中高架道路華夏匝道口,西向東,60,左營,超速,22.684857,120.30621
101,雷達數位,左營區大中高架道路文川匝道口,東向西,60,左營,超速,22.68351,120.307609
102,非線圈數位雷射雷達,左營區高鐵路與曾子路口,北向南,50,左營,闖紅燈,22.683206,120.303487
103,非線圈數位雷射雷達,左營區翠華路與明潭路口,北向南,60,左營,闖紅燈,22.68934362,120.3028615
104,非線圈數位雷射,左營區博愛二路與裕誠路口,北向南,50,左營,闖紅燈,22.665878,120.3031445
105,非線圈數位雷射,左營區高鐵路與大中二路口,北向南,50,左營,闖紅燈,22.6852298,120.3064302
106,非線圈數位雷射,左營區民族一路與大中一路,南向北,60至40,左營,闖紅燈,22.678539,120.319057
107,非線圈數位雷射,左營區博愛二路與新庄仔路口新莊一路,南向北,50至40,左營,闖紅燈兼路口科技執法監測,22.669986,120.303403
108,線圈數位,左營區介壽路與先鋒路口 ,西向東,50,左營,闖紅燈,22.681307,120.282484
109,非線圈數位雷射雷達,左營區翠華路與站前南路,南向北,60,左營,闖紅燈,22.68727476,120.3026676
110,非線圈數位雷射,左營區翠華路與華榮路口,北向南,60至40,左營,闖紅燈,22.672381,120.291402
111,非線圈數位雷射,左營區翠華路與崇德路口,南向北,60,左營,闖紅燈,22.678238,120.297399
112,非線圈數位雷射,左營區大中二路文自路,西向東,50,左營,闖紅燈,22.6803285,120.3112602
113,非線圈數位雷射,左營區新莊一路新榮街口,西向東,50,左營,闖紅燈,22.6706799,120.3019667
114,非線圈數位雷射雷達,左營區軍校路國軍高雄總醫院左營分院前,北向南,50,左營,闖紅燈兼超速,22.702114,120.292373
115,非線圈數位雷射,左營區翠華路勝利路 ,北向南,60至40,左營,闖紅燈兼路口科技執法監測,22.67598457,120.294816
116,雷達數位,左營區左營高架橋中華陸橋往北下橋處,南向北,40,左營,超速,22.6690525,120.2889614
117,雷達數位,永安區台17線保安路201公里200公尺處,南北向,70,永安,超速,22.818576,120.240473
118,雷達數位,田寮區台28線鹿埔路19號前,西向東,50,田寮,超速,22.887613,120.423279
119,雷達數位,田寮區古亭路台28線18號以東67公尺50公分處往阿蓮方向 ,東向西,50,田寮,超速,22.89416,120.40055
120,雷達數位,杉林區市道181線杉美路1段2公里675公尺,北向南,50,杉林,超速,22.937519,120.528818
121,雷達數位,杉林區台29線53公里207公尺,南向北,60,杉林,超速,22.969989,120.541547
122,線圈數位,岡山區嘉新東路與聖森路口,西向東,60,岡山,闖紅燈,22.807525,120.310855
123,非線圈數位雷射,岡山區介壽東路與和平路口,東向西,60,岡山,闖紅燈兼超速,22.785052,120.304177
124,雷達數位,岡山區岡山北路267號前,北向南,60,岡山,超速,22.817284,120.273585
125,雷達數位,岡山區嘉峰路高鐵橋下,北向南,50,岡山,超速,22.832904,120.315478
126,非線圈數位雷射,岡山區大德一路與中山北路,西向東,50,岡山,闖紅燈,22.796617,120.298459
127,非線圈數位雷射,岡山區介壽東路與岡燕路,東向西,60至40,岡山,闖紅燈,22.786663,120.315353
128,非線圈數位雷射,岡山區聖森路岡燕路口,南向北,50,岡山,闖紅燈,22.7896362,120.3129158
129,雷達數位,岡山區國軒路鵬程東二路口,西向東,50,岡山,超速,22.782071,120.290227
130,線圈數位,林園區沿海路二段與林園南路口,西向東,60,林園,闖紅燈,22.500326,120.3961
131,雷達數位,林園區台25線14公里500公尺處,北向南,60,林園,超速,22.531474,120.403523
132,非線圈數位雷射雷達,林園區中門路與南星路口快車道,南向北,50,林園,闖紅燈兼超速,22.510351,120.362804
133,非線圈數位雷射雷達,林園區中門路與南星路口慢車道,南向北,40,林園,闖紅燈兼超速,22.510415,120.362876
134,線圈數位,林園區鳳林路三段與潭頭路口,南向北,60,林園,闖紅燈,22.522011,120.397012
135,雷達數位,林園區台29線108公里400公尺處,北向南,60,林園,超速,22.532355,120.414757
136,雷達數位,阿蓮區復安路與玉庫路口台19甲線往阿蓮市區,南向北,60,阿蓮,超速,22.84498077,120.3228534
137,線圈數位,中華三路與民生二路口,北向南,50,前金,闖紅燈,22.626292,120.296966
138,線圈數位,一心一路與和平二路口,西向東,50,前鎮,闖紅燈,22.606933,120.320551
139,線圈數位,一心一路與光華二路口,東向西,50,前鎮,闖紅燈,22.608536,120.317053
140,線圈數位,保泰路與瑞隆路口,南向北,50,前鎮,闖紅燈,22.605716,120.338568
141,線圈數位,中山二路與文橫三路口,南向北,60,前鎮,闖紅燈,22.611724,120.305481
142,線圈數位,中山三路與正勤路口,北向南,60至40,前鎮,闖紅燈,22.604418,120.309194
143,非線圈數位雷射,凱旋四路與凱旋四路424巷口,西向東,40,前鎮,闖紅燈,22.594706,120.314746
144,非線圈數位雷射,成功二路、興發路口,北向南,50,前鎮,闖紅燈,22.593822,120.30554
145,非線圈數位雷射,中華五路與復興三路口,南向北,50,前鎮,闖紅燈兼路口科技執法監測,22.606278,120.304847
146,非線圈數位雷射,中山四路與中平路口,北向南,40,前鎮,闖紅燈兼路口科技執法監測,22.580608,120.328819
147,非線圈數位雷射雷達,中山三路與凱旋四路,南向北,60,前鎮,闖紅燈兼超速,22.595958,120.316285
148,非線圈數位雷達雷射,中山四路與金福路口,北向南,50,前鎮,闖紅燈,22.576746,120.331922
149,非線圈數位雷射,中山四路與中安路口,南向北,50,前鎮,闖紅燈兼路口科技執法監測,22.580268,120.329487
150,線圈數位,中山四路與鎮海路口,北向南,40,前鎮,闖紅燈兼路口科技執法監測,22.593062,120.318328
151,線圈數位,三多二路與桂林街口,西向東,50,前鎮,闖紅燈,22.617661,120.315796
152,非線圈數位雷達雷射,凱旋四路與籬仔內路口,南向北,50,前鎮,闖紅燈,22.603518,120.323735
153,非線圈數位雷射雷達,前鎮區草衙二路與金福路口,北向南,40,前鎮,闖紅燈,22.57210616,120.328035
154,非線圈數位雷射雷達,前鎮區成功二路與舊凱旋四路口,南向北,50,前鎮,闖紅燈,22.59286456,120.306013
155,非線圈數位雷射雷達,前鎮區凱旋四路與鎮興路口,東向西,50,前鎮,闖紅燈,22.59389014,120.3113958
156,非線圈數位雷射雷達,前鎮區舊凱旋四路與鎮興路口,西向東,50,前鎮,闖紅燈,22.5938516,120.310832
157,非線圈數位雷射雷達,前鎮區舊凱旋四路與前鎮街口,西向東,50,前鎮,闖紅燈,22.59286456,120.3075014
158,雷達數位,前鎮區新生高架道路0.82公里,南向北,60,前鎮,超速,22.583642,120.309643
159,非線圈數位雷射雷達,前鎮區凱旋四路與前鎮街口輕軌沿線 ,東向西,50至40,前鎮,闖紅燈,22.592747,120.308085
160,非線圈數位雷射,前鎮區新生路與金福路口,北向南,50至40,前鎮,闖紅燈,22.5676844,120.3230391
161,非線圈數位雷射,前鎮區新生路與金福路口,南向北,50至40,前鎮,闖紅燈兼路口科技執法監測,22.567458,120.323745
162,雷達數位,高速公路金福路高架聯絡道南下離金福路出口900公尺處,東向西,40,前鎮,超速,22.578099,120.326034
163,雷達數位,高速公路金福路高架聯絡道北上離金福路出口500公尺處,南向北,40,前鎮,超速,22.575134,120.32586
164,非線圈數位雷射,前鎮區班超路瑞祥高中前,北向南,50,前鎮,闖紅燈,22.601731,120.325349
165,非線圈數位雷射,前鎮區凱旋三路二聖一路輕軌沿線,南向北,50,前鎮,闖紅燈,22.611624,120.326634
166,非線圈數位雷射,前鎮區漁港路草衙一路,東向西,50,前鎮,闖紅燈,22.582128,120.322986
167,非線圈數位雷射,前鎮區中山三路與光華三路口,南向北,60至40,前鎮,闖紅燈兼路口科技執法監測,22.60145,120.311799
168,非線圈數位雷射,前鎮區一心二路復興三路,西向東,50,前鎮,闖紅燈,22.611319,120.310464
169,雷達數位,美濃區美興街232號前月光山隧道前方,南向北,50,美濃,超速,22.912997,120.536556
170,線圈數位,美濃區中山路二段359巷口,南向北,60,美濃,闖紅燈,22.896793,120.519852
171,雷達數位,美濃區復興街一段480號前,北向南,50至40,美濃,超速,22.870377,120.5492
172,非線圈數位雷射雷達,美濃區中華路台28線與獅山街口,東向西,60,美濃,闖紅燈兼超速,22.878003,120.570569
173,雷達數位,美濃區台28線中興路一段37公里412公尺,東向西,50,美濃,超速,22.88204,120.549641
174,線圈數位,建國路與武廟路口,東向西,50,苓雅,闖紅燈,22.633484,120.321806
175,線圈數位,五福三路與英雄路口,東向西,50,苓雅,闖紅燈,22.620948,120.2942
176,非線圈數位雷射,建國一路與正義路口,西向東,50,苓雅,闖紅燈,22.629907,120.338216
177,雷達數位,中山二路361號前,北向南,50,苓雅,超速,22.616147,120.303607
178,雷達數位,中山二路432號前,南向北,50,苓雅,超速,22.619112,120.302654
179,線圈數位,武營路與三多一路口,南向北,50,苓雅,闖紅燈,22.623599,120.335901
180,線圈數位,五福一路與凱旋二路口,西向東,50,苓雅,闖紅燈,22.629811,120.321106
181,線圈數位,建國一路與中山高涵洞東側,西向北,50,苓雅,違左,22.630255,120.336708
182,雷達數位,中正一路國軍高雄總醫院旁,東西向,50,苓雅,超速,22.625674,120.339462
183,雷達數位,中正地下道東向西出口超速,東向西,50,苓雅,超速,22.630128,120.320038
184,雷達數位,中正地下道西向東出口超速,西向東,50,苓雅,超速,22.629728,120.325019
185,線圈數位,五福一路與和平一路口,西向東,50,苓雅,闖紅燈,22.628725,120.3182
186,非線圈數位雷射雷達,苓雅區中正一路與高速公路,西向東,50至40,苓雅,闖紅燈,22.62665,120.33634
187,非線圈數位雷射,苓雅區三多一路與建軍路口,西向東,50,苓雅,闖紅燈,22.624517,120.341863
188,非線圈數位雷射,苓雅區三多二路與凱旋二路口,東向西,50,苓雅,闖紅燈,22.620935,120.325806
189,非線圈數位雷射,苓雅區凱旋二路四維一路,南向北,50,苓雅,闖紅燈,22.623761,120.324059
190,非線圈數位雷射,苓雅區輔仁路中正一路,南向北,50,苓雅,闖紅燈,22.627617,120.332179
191,非線圈數位雷射,苓雅區中正一路河南路大順三路,西向東,50,苓雅,闖紅燈兼路口科技執法監測,22.62992523,120.322668
192,非線圈數位雷射,苓雅區中華四路與四維四路口,南向北,50,苓雅,闖紅燈,22.615891,120.301213
193,非線圈數位雷射,茄萣區正順北路高1之1線與崎漏路口,東向西,60,茄萣,闖紅燈,22.882756,120.191057
194,雷達數位,茄萣區正順北路近正順東路口,西向東,60至40,茄萣,超速,22.882696,120.200676
195,雷達數位,鳥松區神農路54之6號前,東西向,60,鳥松,超速,22.659476,120.367185
196,線圈數位,湖內區中山路一段與284巷口,南向北,60,湖內,闖紅燈,22.886343,120.244676
197,非線圈數位雷射雷達,湖內區和平路與東方路口,南向北,60,湖內,闖紅燈兼超速,22.876429,120.225013
198,線圈數位,民生一路與仁愛二街口,西向東,50,新興,闖紅燈,22.627457,120.306849
199,雷達數位,新興區中山一路253號前,北向南,50,新興,超速,22.6352,120.3021
200,線圈數位,旗楠路與土庫一路口,東向西,50,楠梓,闖紅燈,22.735595,120.332864
201,線圈數位,德中路與大學二十九路口,南向北,60,楠梓,闖紅燈,22.722903,120.277368
202,非線圈數位雷射雷達,德民路與海專路口,西向東,60至40,楠梓,闖紅燈,22.726525,120.310349
203,線圈數位,旗楠路與常德路口,東向西,60,楠梓,闖紅燈,22.740109,120.336875
204,線圈數位,左楠路與後昌路口,南向北,50,楠梓,闖紅燈,22.707396,120.302536
205,雷達數位,德中路與大學二十九路口,北向南,60,楠梓,超速,22.7236068,120.2769165
206,雷達數位,高楠公路1015之6號前,南北向,60,楠梓,超速,22.717821,120.325355
207,線圈數位,加昌路與左楠路口,西向東,50,楠梓,闖紅燈,22.717357,120.303934
208,非線圈數位雷射雷達,高楠公路與德民路口,南向北,60,楠梓,闖紅燈兼超速,22.732938,120.320147
209,線圈數位,高楠公路與水管路口,北向南,40,楠梓,闖紅燈,22.732938,120.320147
210,線圈數位,楠梓區德民路與德惠路口,東向西,50,楠梓,闖紅燈,22.725397,120.30323
211,非線圈數位雷射,楠梓區左楠路與外環西路,北向南,50,楠梓,闖紅燈,22.712769,120.302799
212,線圈數位,楠陽路與鳳楠路口,西向東,60,楠梓,闖紅燈,22.723923,120.329949
213,線圈數位,高楠公路金屬研發中心前高楠公路1003巷口,南向北,60,楠梓,闖紅燈,22.714525,120.325979
214,非線圈數位雷射雷達,楠梓區加昌路瑞屏路,東向西,50,楠梓,闖紅燈兼超速,22.7210418,120.3129258
215,線圈數位,路竹區環球路新生路口,東向西,60,路竹,闖紅燈,22.878794,120.292526
216,非線圈數位雷射雷達,路竹區環球路與樹人醫事學校前路口,西向東,60,路竹,闖紅燈兼超速,22.880973,120.260404
217,非線圈數位雷射雷達,路竹區復興路327巷口,南向北,50,路竹,闖紅燈兼超速,22.8470179,120.274459
218,非線圈數位雷射,路竹區中山路與國昌路口,北向南,50,路竹,闖紅燈,22.854364,120.261247
219,雷達數位,路竹區復興路與復興路1133巷口,南向北,50,路竹,超速,22.831895,120.286462
220,線圈數位,路竹區中山南路與北嶺二路口,南向北,60,路竹,闖紅燈,22.829268,120.266078
221,線圈數位,明誠三路與南屏路口,西向東,50,鼓山,闖紅燈,22.66123,120.300266
222,非線圈數位雷射雷達,中華一路與大順一路口,南向北,60,鼓山,闖紅燈兼超速,22.65287,120.292238
223,線圈數位,中華一路與美術北三路口,北向南,60,鼓山,闖紅燈,22.662758,120.292452
224,雷達數位,鼓山三路與青峰路口,北向南,50,鼓山,超速,22.659278,120.275779
225,非線圈數位雷射雷達,鼓山區蓬萊路32號前輕軌沿線 ,南向北,40,鼓山,闖紅燈,22.620316,120.279124
226,雷達數位,鼓山區左營高架橋中華陸橋往南下橋處,北向南,40,鼓山,超速,22.6674554,120.2890132
227,雷達數位,旗山區台28線29公里200公尺處,西向東,50,旗山,超速,22.883623,120.4732
228,非線圈數位雷射雷達,旗山區延平一路與旗甲路一段路口,北向南,60,旗山,闖紅燈,22.898965,120.481135
229,雷達數位,旗山區旗南三路8號以北50公尺處,南北向,50,旗山,超速,22.836104,120.462392
230,非線圈數位雷射雷達,旗山區中華路與華中街口,西向東,50,旗山,闖紅燈,22.887807,120.485499
231,雷達數位,旗山區旗甲路一段台29線62公里圓潭橋前,北向南,60,旗山,超速,22.9133896,120.4934027
232,雷達數位,旗山區台29線旗南三路75公里300公尺處,南北向,70,旗山,超速,22.805735,120.460945
233,雷達數位,旗山區台29線旗甲路三段58公里274公尺,南向北,60,旗山,超速,22.943382,120.508475
234,雷達數位,旗山區台3線旗屏二路與高92線口,南北向,70,旗山,超速,22.845268,120.504726
235,非線圈數位雷射,旗山區中華路與延平一路口,南向北,50,旗山,闖紅燈兼超速,22.88167,120.4847189
236,線圈數位,鳳山區鳳頂路與田中央路口,南向北,60,鳳山,闖紅燈,22.59445,120.359211
237,非線圈數位雷射,鳳山區國泰路二段與五甲一路口,北向南,60,鳳山,闖紅燈,22.616306,120.353083
238,線圈數位,鳳山區建國路三段與青年路二段口,東向西,60,鳳山,闖紅燈,22.63744,120.350961
239,線圈數位,鳳山區南華一路保安二街口,東向西,50,鳳山,闖紅燈,22.597925,120.341869
240,線圈數位,鳳山區建國路三段與澄清路口,東向西,50,鳳山,闖紅燈,22.636531,120.344831
241,線圈數位,鳳山區中山東路與光遠路口,南向北,50,鳳山,闖紅燈,22.623114,120.368352
242,雷達數位,鳳山區鳳頂路台糖加油站對面,北向南,60,鳳山,超速,22.598097,120.360016
243,非線圈數位雷射,鳳山區國泰路一段與鳳頂路口,西向東,50,鳳山,闖紅燈,22.614566,120.36204
244,非線圈數位雷射雷達,鳳山區南華一路與和成路,西向東,60,鳳山,闖紅燈,22.594791,120.344027
245,非線圈數位雷射雷達,鳳山區國泰路二段與南京路口,北向南,60,鳳山,闖紅燈兼超速,22.622242,120.344934
246,非線圈數位雷射雷達,鳳山區鳳頂路與過埤路口,北向南,60,鳳山,闖紅燈兼超速,22.590568,120.358733
247,非線圈數位雷射雷達,鳳山區臨海路與南華一路口,南向北,50至40,鳳山,闖紅燈,22.597889,120.341283
248,非線圈數位雷射,鳳山區過埤路與鳳頂路口快車道,東向西,60,鳳山,闖紅燈兼路口科技執法監測,22.5903729,120.3593547
249,雷達數位,鳳山區南華一路與鳳甲路口,東向西,50,鳳山,超速,22.5950008,120.3440073
250,非線圈數位雷射,鳳山區保南二路與保義街口,南向北,50,鳳山,闖紅燈,22.595628,120.350048
251,雷達數位,鳳山區三商街高速公路口機慢車專用道往南415公尺處,北向南,40,鳳山,超速,22.592661,120.336328
252,非線圈數位雷射,鳳山區五甲一路與瑞隆東路口,北向南,40,鳳山,闖紅燈,22.607111,120.347
253,線圈數位,橋頭區成功南路仕隆路口,北向南,60,橋頭,闖紅燈,22.754935,120.311587
254,雷達數位,橋頭區白樹路175號對面,西向東,40,橋頭,超速,22.757953,120.302545
255,非線圈數位雷射雷達,橋頭區成功北路與新興路,北向南,60,橋頭,闖紅燈,22.759935,120.30955
256,非線圈數位雷射雷達,橋頭區成功北路與鐵道北路,北向南,60,橋頭,闖紅燈,22.767154,120.305743
257,雷達數位,橋頭區成功南路與經武路口,北向南,60,橋頭,超速,22.743445,120.316905
258,雷達數位,燕巢區旗楠路段鳳旗路44號之10旁,東向西,50,燕巢,超速,22.755227,120.356279
259,線圈數位,中興路與南一巷口燕巢國中前,北向南,60,燕巢,闖紅燈,22.786931,120.362362
260,非線圈數位雷射,燕巢區台22線深水國小前路口,東向西,50,燕巢,闖紅燈,22.777427,120.405887
261,雷達數位,燕巢區鳳澄路7之32號前,北向南,60,燕巢,超速,22.756254,120.363547
262,非線圈數位雷射雷達,燕巢區深中路台22線國立高雄科學大學燕巢校區前,西向東,60,燕巢,闖紅燈兼超速,22.77223,120.399461
